"Unidade da Federação";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";" Total"
"11 Rondônia";"54,17";"68,75";"73,78";"92,83";"104,67";"96,48";"98,82";"104,77";"98,27";"93,97";"103,75";"110,25";"122,13";"120,88";"105,98";"111,99";"101,20";"107,32";"105,68";"100,07";"108,09";"105,44";"105,44";"85,00";"80,62";"81,34";"69,40";"93,18"
"12 Acre";"24,31";"45,84";"61,34";"78,74";"71,71";"76,77";"92,64";"113,91";"122,35";"131,65";"111,35";"94,05";"94,66";"116,33";"94,64";"110,91";"104,03";"111,03";"96,07";"92,78";"75,44";"82,74";"71,27";"57,48";"57,76";"66,50";"46,43";"82,56"
"13 Amazonas";"17,86";"48,41";"84,96";"85,73";"86,73";"84,06";"103,46";"90,00";"91,89";"85,63";"91,44";"90,97";"89,85";"93,06";"87,06";"93,57";"92,48";"87,15";"91,93";"96,83";"98,86";"104,80";"76,24";"63,28";"67,79";"79,60";"54,20";"80,65"
"14 Roraima";"49,36";"93,94";"83,36";"81,69";"103,03";"99,13";"134,10";"85,58";"93,31";"86,46";"91,02";"100,22";"90,94";"95,00";"89,57";"103,67";"96,71";"95,52";"88,78";"86,48";"89,54";"112,28";"88,45";"88,83";"72,32";"74,24";"54,89";"87,67"
"15 Pará";"38,36";"45,48";"47,88";"49,71";"83,76";"86,14";"109,25";"107,74";"118,45";"118,52";"124,94";"123,42";"116,22";"111,15";"109,56";"106,11";"103,38";"101,54";"97,78";"96,98";"84,36";"72,09";"63,15";"45,51";"47,00";"55,25";"38,73";"80,48"
"16 Amapá";"0";"59,74";"71,93";"86,57";"76,07";"85,72";"91,16";"155,06";"94,27";"98,44";"104,02";"99,70";"94,36";"98,82";"97,10";"126,11";"90,75";"84,58";"92,67";"93,31";"80,66";"92,38";"47,59";"40,23";"46,80";"58,26";"28,47";"78,96"
"17 Tocantins";"0";"0";"64,37";"100,46";"108,06";"107,50";"106,04";"118,44";"106,54";"102,04";"106,65";"106,26";"108,91";"109,02";"99,83";"107,81";"97,21";"99,62";"92,75";"96,97";"90,51";"97,22";"84,77";"76,23";"76,78";"76,97";"68,50";"93,77"
"21 Maranhão";"34,81";"43,91";"38,44";"62,35";"64,78";"68,41";"80,98";"96,45";"96,78";"99,51";"108,34";"112,95";"114,26";"118,59";"108,01";"112,14";"106,62";"102,93";"97,54";"105,73";"93,42";"100,02";"69,43";"55,05";"56,77";"56,93";"38,25";"78,50"
"22 Piauí";"53,33";"65,31";"64,42";"62,77";"83,15";"94,71";"99,34";"106,39";"106,35";"103,72";"106,00";"102,53";"107,62";"108,31";"100,04";"103,42";"97,02";"98,47";"93,91";"93,06";"81,86";"80,92";"70,69";"65,78";"65,33";"66,95";"56,69";"83,92"
"23 Ceará";"94,18";"106,37";"103,09";"109,36";"90,05";"104,02";"101,39";"112,59";"103,92";"98,78";"115,84";"110,62";"109,21";"108,98";"105,37";"105,70";"101,03";"100,00";"97,79";"104,79";"103,92";"113,68";"107,89";"81,21";"89,45";"79,02";"66,70";"98,69"
"24 Rio Grande do Norte";"69,70";"73,06";"66,30";"75,44";"73,31";"79,87";"86,79";"91,46";"94,42";"97,37";"98,65";"98,43";"102,95";"99,01";"92,36";"95,99";"96,67";"96,88";"93,98";"93,86";"95,63";"97,64";"70,25";"55,38";"65,99";"67,59";"56,14";"81,73"
"25 Paraíba";"0";"40,16";"74,99";"85,18";"87,05";"94,52";"91,89";"103,87";"100,66";"98,24";"103,13";"104,78";"111,07";"110,40";"101,47";"110,05";"100,95";"101,97";"92,08";"108,24";"100,40";"96,12";"85,46";"67,67";"73,33";"77,95";"56,86";"88,34"
"26 Pernambuco";"51,16";"112,12";"119,08";"128,05";"131,43";"127,29";"114,08";"104,61";"103,77";"113,81";"109,86";"109,70";"109,60";"110,94";"106,67";"108,60";"101,18";"109,60";"100,08";"101,06";"101,68";"109,29";"90,38";"71,54";"76,27";"71,17";"54,77";"98,00"
"27 Alagoas";"0";"54,07";"40,02";"50,12";"60,33";"85,32";"94,25";"86,47";"98,48";"100,75";"104,98";"103,22";"103,88";"94,38";"90,87";"106,07";"100,47";"90,61";"90,22";"97,53";"93,32";"94,25";"80,07";"71,18";"78,23";"73,48";"53,69";"82,22"
"28 Sergipe";"0";"92,80";"87,14";"98,86";"98,19";"105,68";"101,90";"101,53";"103,27";"107,79";"107,34";"97,17";"99,51";"108,68";"99,94";"105,73";"99,87";"103,40";"96,85";"99,41";"94,25";"93,69";"78,29";"72,57";"76,08";"73,26";"52,81";"91,76"
"29 Bahia";"76,52";"48,70";"55,84";"68,03";"80,54";"83,54";"95,25";"108,30";"93,10";"92,07";"103,14";"109,82";"109,76";"105,46";"98,45";"102,30";"95,93";"97,32";"93,26";"96,40";"93,87";"95,42";"70,72";"61,34";"59,81";"62,89";"49,39";"82,07"
"31 Minas Gerais";"0";"0";"0";"76,28";"82,20";"93,10";"106,70";"99,22";"91,01";"87,11";"103,49";"105,86";"105,99";"105,58";"99,56";"105,19";"100,41";"103,22";"98,61";"103,24";"96,51";"97,12";"88,29";"80,67";"86,46";"82,61";"71,44";"92,58"
"32 Espírito Santo";"73,72";"73,97";"80,89";"98,38";"120,33";"148,59";"108,53";"109,82";"114,88";"119,51";"112,22";"112,11";"112,45";"108,97";"104,58";"107,32";"103,07";"108,26";"104,93";"100,22";"101,25";"99,39";"89,28";"75,68";"84,20";"82,96";"68,47";"97,97"
"33 Rio de Janeiro";"0";"90,96";"76,30";"98,15";"102,14";"101,67";"93,98";"94,07";"111,61";"111,46";"108,27";"118,98";"103,95";"112,08";"108,31";"109,39";"106,87";"112,15";"96,87";"99,95";"100,89";"107,03";"89,93";"78,09";"73,95";"64,28";"46,78";"93,28"
"35 São Paulo";"0";"97,00";"101,36";"106,69";"114,70";"112,18";"102,35";"103,34";"95,89";"98,31";"98,19";"96,74";"99,93";"98,67";"96,60";"99,10";"96,60";"100,30";"96,44";"98,95";"95,73";"99,68";"83,84";"81,40";"84,57";"84,78";"70,11";"94,88"
"41 Paraná";"0";"70,01";"91,28";"97,90";"96,47";"92,91";"104,42";"105,76";"102,67";"103,38";"99,66";"99,65";"103,49";"102,69";"96,32";"100,36";"99,60";"102,50";"96,78";"104,65";"98,76";"97,39";"87,54";"83,01";"87,07";"88,31";"69,84";"93,80"
"42 Santa Catarina";"87,00";"97,47";"83,81";"94,32";"88,54";"92,97";"102,57";"105,67";"99,10";"101,54";"100,27";"101,37";"101,03";"104,07";"96,82";"102,55";"98,82";"101,18";"99,97";"97,78";"97,17";"102,43";"92,12";"91,52";"92,38";"96,30";"75,77";"95,35"
"43 Rio Grande do Sul";"0";"96,69";"79,90";"91,24";"87,38";"94,68";"97,37";"98,15";"93,52";"96,20";"95,04";"97,64";"99,10";"99,89";"93,33";"95,28";"92,34";"95,07";"89,40";"100,28";"95,42";"89,20";"84,46";"78,07";"81,71";"85,12";"74,23";"90,23"
"50 Mato Grosso do Sul";"0";"0";"68,82";"80,17";"93,79";"97,52";"112,63";"111,29";"114,34";"107,08";"99,47";"100,48";"104,61";"104,83";"96,87";"106,10";"99,64";"95,54";"102,28";"118,01";"130,10";"120,36";"93,78";"84,02";"96,94";"94,54";"70,76";"98,27"
"51 Mato Grosso";"48,25";"58,58";"68,61";"104,25";"109,78";"111,50";"125,46";"117,54";"111,61";"108,27";"109,45";"112,94";"109,60";"112,30";"104,55";"107,67";"100,40";"103,22";"99,50";"101,20";"102,47";"102,81";"90,64";"74,75";"77,70";"80,50";"69,61";"93,49"
"52 Goiás";"37,28";"85,64";"82,35";"68,33";"91,10";"98,08";"107,12";"101,08";"99,28";"104,13";"111,97";"104,03";"110,61";"112,35";"104,30";"105,20";"100,56";"107,11";"101,00";"107,69";"97,65";"95,88";"82,10";"73,95";"74,72";"74,81";"64,49";"89,36"
"53 Distrito Federal";"0";"0";"105,49";"107,50";"127,57";"126,08";"99,53";"97,51";"97,23";"96,96";"101,10";"96,60";"101,83";"100,31";"99,18";"101,97";"94,20";"86,48";"93,65";"112,17";"94,34";"74,92";"136,83";"79,70";"79,91";"82,19";"77,90";"93,23"
"Total";"58,24";"77,83";"80,86";"89,27";"95,30";"99,08";"101,44";"102,83";"100,01";"100,48";"104,30";"105,12";"105,25";"105,43";"100,18";"103,66";"99,35";"101,33";"96,55";"100,71";"96,76";"98,29";"84,43";"73,83";"76,69";"76,48";"61,29";"90,66"
